Age,Gender,Stream,How often do you exercise?,Describe your daily routine,How long do you exercise daily?,Your primary motivation for exercising?,Importance of Fitness for you,Any pre-existing health conditions?  ,"On average, how many hours do you sleep per night?",What is the biggest challenge to staying consistent with exercise?,Would you consider joining a gym or fitness class in the next 6 months?,Dietary Habits?,Stress Levels?
18,Male,Commerce,B. Sometimes (2-3 times/week),"A. Mostly sedentary (desk job, minimal movement)",B. 15-30 minutes,C. Stress relief / mental well-being,B. Somewhat important,E. No pre-existing conditions,B. 5-7 hours,B. Time constraints,B. No,"Junk food consumption, Sugar intake",Moderate
18,Male,Science,A. Rarely (0-1 times/week),"A. Mostly sedentary (desk job, minimal movement)",A. Less than 15 minutes,D. I don’t exercise,B. Somewhat important,E. No pre-existing conditions,B. 5-7 hours,"A. Lack of motivation, B. Time constraints",B. No,"Junk food consumption, Sugar intake",Moderate
19,Female,Science,B. Sometimes (2-3 times/week),B. Moderately active (some walking/movement),A. Less than 15 minutes,"A. Health & longevity, B. Weight loss / muscle gain, C. Stress relief / mental well-being",B. Somewhat important,E. No pre-existing conditions,B. 5-7 hours,"A. Lack of motivation, B. Time constraints",A. Yes,"Junk food consumption, Sugar intake",High
20,Female,Science,A. Rarely (0-1 times/week),B. Moderately active (some walking/movement),A. Less than 15 minutes,A. Health & longevity,B. Somewhat important,E. No pre-existing conditions,B. 5-7 hours,"A. Lack of motivation, B. Time constraints",B. No,"Junk food consumption, Sugar intake",Moderate
19,Female,Science,B. Sometimes (2-3 times/week),B. Moderately active (some walking/movement),C. More than 30 minutes,"B. Weight loss / muscle gain, C. Stress relief / mental well-being",A. Very important,E. No pre-existing conditions,B. 5-7 hours,"A. Lack of motivation, B. Time constraints",A. Yes,"Junk food consumption, Sugar intake",High
19,Male,Science,A. Rarely (0-1 times/week),"A. Mostly sedentary (desk job, minimal movement)",A. Less than 15 minutes,A. Health & longevity,B. Somewhat important,E. No pre-existing conditions,A. Less than 5 hours,A. Lack of motivation,B. No,"Junk food consumption, Sugar intake",Moderate
21,Male,Science,C. Frequently (4+ times/week),"C. Very active (physical job, frequent exercise)",C. More than 30 minutes,"A. Health & longevity, B. Weight loss / muscle gain, C. Stress relief / mental well-being",A. Very important,E. No pre-existing conditions,B. 5-7 hours,A. Lack of motivation,B. No,"Junk food consumption, Sugar intake",Moderate
18,Male,Science,A. Rarely (0-1 times/week),B. Moderately active (some walking/movement),B. 15-30 minutes,D. I don’t exercise,A. Very important,E. No pre-existing conditions,B. 5-7 hours,A. Lack of motivation,A. Yes,"Junk food consumption, Sugar intake",Moderate
19,Male,Science,A. Rarely (0-1 times/week),B. Moderately active (some walking/movement),A. Less than 15 minutes,D. I don’t exercise,C. Not important,E. No pre-existing conditions,A. Less than 5 hours,D. No challenges,B. No,"Junk food consumption, Sugar intake",Moderate
19,Female,Science,A. Rarely (0-1 times/week),B. Moderately active (some walking/movement),A. Less than 15 minutes,D. I don’t exercise,B. Somewhat important,E. No pre-existing conditions,C. More than 7 hours,D. No challenges,B. No,"Junk food consumption, Sugar intake",Moderate
18,Female,Science,A. Rarely (0-1 times/week),"A. Mostly sedentary (desk job, minimal movement)",A. Less than 15 minutes,D. I don’t exercise,A. Very important,E. No pre-existing conditions,C. More than 7 hours,A. Lack of motivation,B. No,"Junk food consumption, Sugar intake",Moderate
21,Male,Science,A. Rarely (0-1 times/week),B. Moderately active (some walking/movement),A. Less than 15 minutes,A. Health & longevity,B. Somewhat important,E. No pre-existing conditions,B. 5-7 hours,B. Time constraints,B. No,"Junk food consumption, Sugar intake",Moderate
18,Female,Science,A. Rarely (0-1 times/week),B. Moderately active (some walking/movement),A. Less than 15 minutes,C. Stress relief / mental well-being,B. Somewhat important,E. No pre-existing conditions,C. More than 7 hours,B. Time constraints,B. No,"Junk food consumption, Sugar intake",Moderate
18,Female,Science,C. Frequently (4+ times/week),B. Moderately active (some walking/movement),C. More than 30 minutes,"A. Health & longevity, C. Stress relief / mental well-being",B. Somewhat important,E. No pre-existing conditions,B. 5-7 hours,B. Time constraints,A. Yes,"Junk food consumption, Sugar intake",High
17,Male,Science,B. Sometimes (2-3 times/week),"C. Very active (physical job, frequent exercise)",A. Less than 15 minutes,C. Stress relief / mental well-being,B. Somewhat important,E. No pre-existing conditions,C. More than 7 hours,D. No challenges,A. Yes,"Junk food consumption, Sugar intake",Moderate
20,Female,Science,A. Rarely (0-1 times/week),"A. Mostly sedentary (desk job, minimal movement)",A. Less than 15 minutes,D. I don’t exercise,B. Somewhat important,E. No pre-existing conditions,B. 5-7 hours,B. Time constraints,B. No,"Junk food consumption, Sugar intake",Moderate
18,Male,Science,C. Frequently (4+ times/week),B. Moderately active (some walking/movement),C. More than 30 minutes,"B. Weight loss / muscle gain, C. Stress relief / mental well-being",B. Somewhat important,E. No pre-existing conditions,B. 5-7 hours,B. Time constraints,A. Yes,"Junk food consumption, Sugar intake",Moderate
18,Female,Science,B. Sometimes (2-3 times/week),B. Moderately active (some walking/movement),C. More than 30 minutes,B. Weight loss / muscle gain,A. Very important,E. No pre-existing conditions,B. 5-7 hours,B. Time constraints,A. Yes,"Junk food consumption, Sugar intake",Moderate
18,Male,Science,C. Frequently (4+ times/week),B. Moderately active (some walking/movement),C. More than 30 minutes,C. Stress relief / mental well-being,A. Very important,E. No pre-existing conditions,C. More than 7 hours,D. No challenges,B. No,"Junk food consumption, Sugar intake",Moderate
19,Male,Science,C. Frequently (4+ times/week),B. Moderately active (some walking/movement),B. 15-30 minutes,"B. Weight loss / muscle gain, C. Stress relief / mental well-being",A. Very important,E. No pre-existing conditions,B. 5-7 hours,B. Time constraints,A. Yes,"Junk food consumption, Sugar intake",High
18,Female,Science,B. Sometimes (2-3 times/week),B. Moderately active (some walking/movement),B. 15-30 minutes,"A. Health & longevity, B. Weight loss / muscle gain, C. Stress relief / mental well-being",A. Very important,E. No pre-existing conditions,B. 5-7 hours,B. Time constraints,A. Yes,"Junk food consumption, Sugar intake",Moderate
18,Female,Science,A. Rarely (0-1 times/week),B. Moderately active (some walking/movement),B. 15-30 minutes,A. Health & longevity,A. Very important,E. No pre-existing conditions,B. 5-7 hours,B. Time constraints,B. No,"Junk food consumption, Sugar intake",Moderate
19,Male,Science,C. Frequently (4+ times/week),B. Moderately active (some walking/movement),B. 15-30 minutes,B. Weight loss / muscle gain,A. Very important,E. No pre-existing conditions,C. More than 7 hours,D. No challenges,A. Yes,"Junk food consumption, Sugar intake",Moderate
18,Female,Science,A. Rarely (0-1 times/week),"A. Mostly sedentary (desk job, minimal movement)",C. More than 30 minutes,A. Health & longevity,A. Very important,E. No pre-existing conditions,B. 5-7 hours,B. Time constraints,A. Yes,"Junk food consumption, Sugar intake",Moderate
18,Female,Science,A. Rarely (0-1 times/week),B. Moderately active (some walking/movement),A. Less than 15 minutes,"A. Health & longevity, B. Weight loss / muscle gain, D. I don’t exercise",B. Somewhat important,E. No pre-existing conditions,B. 5-7 hours,A. Lack of motivation,A. Yes,"Junk food consumption, Sugar intake",Moderate
19,Female,Science,A. Rarely (0-1 times/week),B. Moderately active (some walking/movement),A. Less than 15 minutes,D. I don’t exercise,B. Somewhat important,E. No pre-existing conditions,B. 5-7 hours,"A. Lack of motivation, B. Time constraints",B. No,"Junk food consumption, Sugar intake",Moderate
19,Female,Science,A. Rarely (0-1 times/week),B. Moderately active (some walking/movement),A. Less than 15 minutes,D. I don’t exercise,B. Somewhat important,E. No pre-existing conditions,B. 5-7 hours,"A. Lack of motivation, B. Time constraints",B. No,"Junk food consumption, Sugar intake",Moderate
19,Male,Commerce,B. Sometimes (2-3 times/week),B. Moderately active (some walking/movement),A. Less than 15 minutes,"A. Health & longevity, B. Weight loss / muscle gain, C. Stress relief / mental well-being",A. Very important,E. No pre-existing conditions,B. 5-7 hours,B. Time constraints,B. No,"Junk food consumption, Sugar intake",Moderate
19,Female,Science,A. Rarely (0-1 times/week),B. Moderately active (some walking/movement),A. Less than 15 minutes,"B. Weight loss / muscle gain, C. Stress relief / mental well-being",B. Somewhat important,E. No pre-existing conditions,C. More than 7 hours,A. Lack of motivation,B. No,"Junk food consumption, Sugar intake",Moderate
19,Male,Commerce,C. Frequently (4+ times/week),B. Moderately active (some walking/movement),C. More than 30 minutes,"A. Health & longevity, B. Weight loss / muscle gain, C. Stress relief / mental well-being",A. Very important,E. No pre-existing conditions,C. More than 7 hours,"A. Lack of motivation, B. Time constraints",A. Yes,"Junk food consumption, Sugar intake",Moderate
17,Female,Science,C. Frequently (4+ times/week),B. Moderately active (some walking/movement),B. 15-30 minutes,"A. Health & longevity, B. Weight loss / muscle gain, C. Stress relief / mental well-being",A. Very important,E. No pre-existing conditions,B. 5-7 hours,"A. Lack of motivation, B. Time constraints",A. Yes,"Junk food consumption, Sugar intake",Moderate
19,Female,Commerce,A. Rarely (0-1 times/week),B. Moderately active (some walking/movement),A. Less than 15 minutes,B. Weight loss / muscle gain,A. Very important,E. No pre-existing conditions,B. 5-7 hours,A. Lack of motivation,B. No,"Junk food consumption, Sugar intake",Moderate
19,Female,Science,B. Sometimes (2-3 times/week),B. Moderately active (some walking/movement),C. More than 30 minutes,C. Stress relief / mental well-being,B. Somewhat important,E. No pre-existing conditions,B. 5-7 hours,B. Time constraints,A. Yes,"Junk food consumption, Sugar intake",Moderate
20,Male,Science,C. Frequently (4+ times/week),B. Moderately active (some walking/movement),A. Less than 15 minutes,A. Health & longevity,A. Very important,E. No pre-existing conditions,A. Less than 5 hours,B. Time constraints,B. No,"Junk food consumption, Sugar intake",Moderate
19,Male,Science,A. Rarely (0-1 times/week),B. Moderately active (some walking/movement),A. Less than 15 minutes,D. I don’t exercise,C. Not important,E. No pre-existing conditions,B. 5-7 hours,D. No challenges,B. No,"Junk food consumption, Sugar intake",Moderate
19,Female,Commerce,A. Rarely (0-1 times/week),B. Moderately active (some walking/movement),A. Less than 15 minutes,A. Health & longevity,B. Somewhat important,E. No pre-existing conditions,C. More than 7 hours,D. No challenges,A. Yes,"Junk food consumption, Sugar intake",Moderate
19,Female,Science,A. Rarely (0-1 times/week),B. Moderately active (some walking/movement),A. Less than 15 minutes,D. I don’t exercise,A. Very important,E. No pre-existing conditions,B. 5-7 hours,A. Lack of motivation,A. Yes,"Junk food consumption, Sugar intake",Moderate
19,Female,Commerce,A. Rarely (0-1 times/week),B. Moderately active (some walking/movement),A. Less than 15 minutes,D. I don’t exercise,B. Somewhat important,E. No pre-existing conditions,B. 5-7 hours,D. No challenges,B. No,"Junk food consumption, Sugar intake",Moderate
19,Male,Science,A. Rarely (0-1 times/week),B. Moderately active (some walking/movement),A. Less than 15 minutes,"A. Health & longevity, D. I don’t exercise",B. Somewhat important,E. No pre-existing conditions,B. 5-7 hours,"A. Lack of motivation, B. Time constraints",B. No,"Junk food consumption, Sugar intake",Moderate
19,Male,Science,B. Sometimes (2-3 times/week),"C. Very active (physical job, frequent exercise)",A. Less than 15 minutes,D. I don’t exercise,B. Somewhat important,E. No pre-existing conditions,C. More than 7 hours,D. No challenges,A. Yes,"Junk food consumption, Sugar intake",Moderate
19,Male,Science,A. Rarely (0-1 times/week),"A. Mostly sedentary (desk job, minimal movement)",A. Less than 15 minutes,D. I don’t exercise,C. Not important,E. No pre-existing conditions,B. 5-7 hours,"A. Lack of motivation, B. Time constraints",A. Yes,"Junk food consumption, Sugar intake",Moderate
19,Female,Commerce,C. Frequently (4+ times/week),"C. Very active (physical job, frequent exercise)",C. More than 30 minutes,"A. Health & longevity, B. Weight loss / muscle gain, C. Stress relief / mental well-being",A. Very important,E. No pre-existing conditions,A. Less than 5 hours,B. Time constraints,A. Yes,"Junk food consumption, Sugar intake",Moderate
20,Female,Commerce,B. Sometimes (2-3 times/week),B. Moderately active (some walking/movement),B. 15-30 minutes,"A. Health & longevity, B. Weight loss / muscle gain, C. Stress relief / mental well-being",A. Very important,E. No pre-existing conditions,B. 5-7 hours,A. Lack of motivation,A. Yes,"Junk food consumption, Sugar intake",Moderate
20,Female,Commerce,A. Rarely (0-1 times/week),B. Moderately active (some walking/movement),B. 15-30 minutes,B. Weight loss / muscle gain,B. Somewhat important,D. Asthma or breathing problems,C. More than 7 hours,C. Health issues,B. No,"Junk food consumption, Sugar intake",High
19,Female,Commerce,A. Rarely (0-1 times/week),B. Moderately active (some walking/movement),A. Less than 15 minutes,"A. Health & longevity, D. I don’t exercise",A. Very important,E. No pre-existing conditions,A. Less than 5 hours,D. No challenges,B. No,"Junk food consumption, Sugar intake",Moderate
19,Female,Commerce,A. Rarely (0-1 times/week),B. Moderately active (some walking/movement),B. 15-30 minutes,"A. Health & longevity, B. Weight loss / muscle gain",B. Somewhat important,E. No pre-existing conditions,B. 5-7 hours,A. Lack of motivation,B. No,"Junk food consumption, Sugar intake",High
19,Female,Commerce,C. Frequently (4+ times/week),"C. Very active (physical job, frequent exercise)",C. More than 30 minutes,C. Stress relief / mental well-being,A. Very important,E. No pre-existing conditions,B. 5-7 hours,B. Time constraints,B. No,"Junk food consumption, Sugar intake",Moderate
19,Male,Commerce,C. Frequently (4+ times/week),B. Moderately active (some walking/movement),C. More than 30 minutes,"A. Health & longevity, B. Weight loss / muscle gain",A. Very important,E. No pre-existing conditions,B. 5-7 hours,B. Time constraints,A. Yes,"Junk food consumption, Sugar intake",Moderate
18,Female,Arts,A. Rarely (0-1 times/week),"A. Mostly sedentary (desk job, minimal movement)",A. Less than 15 minutes,A. Health & longevity,B. Somewhat important,E. No pre-existing conditions,C. More than 7 hours,D. No challenges,A. Yes,"Junk food consumption, Sugar intake",Moderate
19,Female,Commerce,A. Rarely (0-1 times/week),B. Moderately active (some walking/movement),B. 15-30 minutes,A. Health & longevity,B. Somewhat important,E. No pre-existing conditions,B. 5-7 hours,D. No challenges,B. No,"Junk food consumption, Sugar intake",Moderate
18,Male,Science,C. Frequently (4+ times/week),"C. Very active (physical job, frequent exercise)",C. More than 30 minutes,B. Weight loss / muscle gain,A. Very important,E. No pre-existing conditions,B. 5-7 hours,D. No challenges,A. Yes,"Junk food consumption, Sugar intake",Moderate
20,Female,Science,B. Sometimes (2-3 times/week),B. Moderately active (some walking/movement),B. 15-30 minutes,"A. Health & longevity, B. Weight loss / muscle gain",A. Very important,E. No pre-existing conditions,B. 5-7 hours,C. Health issues,B. No,"Junk food consumption, Sugar intake",Moderate
20,Female,Commerce,B. Sometimes (2-3 times/week),B. Moderately active (some walking/movement),B. 15-30 minutes,C. Stress relief / mental well-being,A. Very important,E. No pre-existing conditions,A. Less than 5 hours,C. Health issues,B. No,"Junk food consumption, Sugar intake",Moderate
19,Female,Science,A. Rarely (0-1 times/week),"C. Very active (physical job, frequent exercise)",A. Less than 15 minutes,D. I don’t exercise,A. Very important,E. No pre-existing conditions,B. 5-7 hours,A. Lack of motivation,B. No,"Junk food consumption, Sugar intake",Moderate
19,Male,Science,A. Rarely (0-1 times/week),B. Moderately active (some walking/movement),A. Less than 15 minutes,D. I don’t exercise,C. Not important,E. No pre-existing conditions,A. Less than 5 hours,"A. Lack of motivation, B. Time constraints",B. No,"Junk food consumption, Sugar intake",Moderate
19,Female,Science,A. Rarely (0-1 times/week),B. Moderately active (some walking/movement),C. More than 30 minutes,A. Health & longevity,A. Very important,E. No pre-existing conditions,C. More than 7 hours,A. Lack of motivation,B. No,"Junk food consumption, Sugar intake",Moderate
19,Female,Commerce,B. Sometimes (2-3 times/week),B. Moderately active (some walking/movement),B. 15-30 minutes,C. Stress relief / mental well-being,A. Very important,E. No pre-existing conditions,B. 5-7 hours,B. Time constraints,B. No,"Junk food consumption, Sugar intake",Moderate
18,Female,Commerce,A. Rarely (0-1 times/week),B. Moderately active (some walking/movement),A. Less than 15 minutes,D. I don’t exercise,B. Somewhat important,E. No pre-existing conditions,C. More than 7 hours,"A. Lack of motivation, C. Health issues",B. No,"Junk food consumption, Sugar intake",Moderate
21,Female,Commerce,B. Sometimes (2-3 times/week),B. Moderately active (some walking/movement),A. Less than 15 minutes,C. Stress relief / mental well-being,A. Very important,E. No pre-existing conditions,A. Less than 5 hours,A. Lack of motivation,A. Yes,"Junk food consumption, Sugar intake",Moderate
19,Female,Commerce,A. Rarely (0-1 times/week),"A. Mostly sedentary (desk job, minimal movement)",A. Less than 15 minutes,D. I don’t exercise,A. Very important,E. No pre-existing conditions,A. Less than 5 hours,A. Lack of motivation,B. No,"Junk food consumption, Sugar intake",Moderate
17,Female,Science,C. Frequently (4+ times/week),"C. Very active (physical job, frequent exercise)",C. More than 30 minutes,B. Weight loss / muscle gain,A. Very important,"B. Hypertension, D. Asthma or breathing problems",C. More than 7 hours,D. No challenges,B. No,"Junk food consumption, Sugar intake",Moderate
18,Female,Science,A. Rarely (0-1 times/week),"A. Mostly sedentary (desk job, minimal movement)",A. Less than 15 minutes,"B. Weight loss / muscle gain, D. I don’t exercise",A. Very important,D. Asthma or breathing problems,C. More than 7 hours,"A. Lack of motivation, B. Time constraints",B. No,"Junk food consumption, Sugar intake",Moderate
17,Female,Science,C. Frequently (4+ times/week),"C. Very active (physical job, frequent exercise)",C. More than 30 minutes,C. Stress relief / mental well-being,A. Very important,"B. Hypertension, D. Asthma or breathing problems",B. 5-7 hours,C. Health issues,A. Yes,"Junk food consumption, Sugar intake",Moderate
19,Female,Commerce,A. Rarely (0-1 times/week),B. Moderately active (some walking/movement),A. Less than 15 minutes,D. I don’t exercise,B. Somewhat important,E. No pre-existing conditions,B. 5-7 hours,"A. Lack of motivation, B. Time constraints",B. No,"Junk food consumption, Sugar intake",High
17,Female,Science,B. Sometimes (2-3 times/week),B. Moderately active (some walking/movement),B. 15-30 minutes,A. Health & longevity,A. Very important,E. No pre-existing conditions,B. 5-7 hours,A. Lack of motivation,B. No,"Junk food consumption, Sugar intake",Moderate
17,Female,Arts,B. Sometimes (2-3 times/week),B. Moderately active (some walking/movement),B. 15-30 minutes,C. Stress relief / mental well-being,B. Somewhat important,E. No pre-existing conditions,B. 5-7 hours,"A. Lack of motivation, B. Time constraints",B. No,"Junk food consumption, Sugar intake",Moderate
19,Male,Commerce,A. Rarely (0-1 times/week),B. Moderately active (some walking/movement),A. Less than 15 minutes,B. Weight loss / muscle gain,A. Very important,E. No pre-existing conditions,B. 5-7 hours,B. Time constraints,A. Yes,"Junk food consumption, Sugar intake",Moderate
16,Female,Science,B. Sometimes (2-3 times/week),B. Moderately active (some walking/movement),B. 15-30 minutes,B. Weight loss / muscle gain,A. Very important,E. No pre-existing conditions,B. 5-7 hours,B. Time constraints,B. No,"Junk food consumption, Sugar intake",Moderate
19,Female,Commerce,B. Sometimes (2-3 times/week),"A. Mostly sedentary (desk job, minimal movement)",B. 15-30 minutes,B. Weight loss / muscle gain,A. Very important,E. No pre-existing conditions,B. 5-7 hours,"A. Lack of motivation, B. Time constraints",B. No,"Junk food consumption, Sugar intake",Moderate
16,Female,Science,A. Rarely (0-1 times/week),"C. Very active (physical job, frequent exercise)",A. Less than 15 minutes,D. I don’t exercise,B. Somewhat important,D. Asthma or breathing problems,B. 5-7 hours,B. Time constraints,B. No,"Junk food consumption, Sugar intake",Moderate
17,Female,Science,A. Rarely (0-1 times/week),B. Moderately active (some walking/movement),A. Less than 15 minutes,D. I don’t exercise,B. Somewhat important,E. No pre-existing conditions,B. 5-7 hours,B. Time constraints,B. No,"Junk food consumption, Sugar intake",Moderate
19,Female,Science,A. Rarely (0-1 times/week),B. Moderately active (some walking/movement),A. Less than 15 minutes,C. Stress relief / mental well-being,A. Very important,E. No pre-existing conditions,B. 5-7 hours,B. Time constraints,B. No,"Junk food consumption, Sugar intake",Moderate
17,Male,Science,C. Frequently (4+ times/week),B. Moderately active (some walking/movement),C. More than 30 minutes,B. Weight loss / muscle gain,B. Somewhat important,E. No pre-existing conditions,B. 5-7 hours,A. Lack of motivation,B. No,"Junk food consumption, Sugar intake",Moderate
16,Female,Science,B. Sometimes (2-3 times/week),"C. Very active (physical job, frequent exercise)",B. 15-30 minutes,"B. Weight loss / muscle gain, C. Stress relief / mental well-being",A. Very important,E. No pre-existing conditions,B. 5-7 hours,B. Time constraints,A. Yes,"Junk food consumption, Sugar intake",Moderate
22,Female,Commerce,A. Rarely (0-1 times/week),B. Moderately active (some walking/movement),B. 15-30 minutes,C. Stress relief / mental well-being,B. Somewhat important,D. Asthma or breathing problems,B. 5-7 hours,"A. Lack of motivation, B. Time constraints",A. Yes,"Junk food consumption, Sugar intake",Moderate
18,Other,Arts,C. Frequently (4+ times/week),"C. Very active (physical job, frequent exercise)",C. More than 30 minutes,D. I don’t exercise,C. Not important,E. No pre-existing conditions,C. More than 7 hours,D. No challenges,A. Yes,"Junk food consumption, Sugar intake",Moderate
19,Female,Science,A. Rarely (0-1 times/week),B. Moderately active (some walking/movement),A. Less than 15 minutes,D. I don’t exercise,B. Somewhat important,E. No pre-existing conditions,C. More than 7 hours,"A. Lack of motivation, B. Time constraints",A. Yes,"Junk food consumption, Sugar intake",Moderate
20,Female,Commerce,A. Rarely (0-1 times/week),B. Moderately active (some walking/movement),A. Less than 15 minutes,B. Weight loss / muscle gain,B. Somewhat important,E. No pre-existing conditions,B. 5-7 hours,B. Time constraints,A. Yes,"Junk food consumption, Sugar intake",Moderate
17,Male,Science,A. Rarely (0-1 times/week),"C. Very active (physical job, frequent exercise)",A. Less than 15 minutes,D. I don’t exercise,B. Somewhat important,E. No pre-existing conditions,B. 5-7 hours,"A. Lack of motivation, B. Time constraints, D. No challenges",B. No,"Junk food consumption, Sugar intake",Moderate
16,Female,Science,A. Rarely (0-1 times/week),B. Moderately active (some walking/movement),B. 15-30 minutes,D. I don’t exercise,B. Somewhat important,E. No pre-existing conditions,B. 5-7 hours,"A. Lack of motivation, B. Time constraints",A. Yes,"Junk food consumption, Sugar intake",Moderate
19,Female,Science,A. Rarely (0-1 times/week),"A. Mostly sedentary (desk job, minimal movement)",A. Less than 15 minutes,C. Stress relief / mental well-being,A. Very important,E. No pre-existing conditions,B. 5-7 hours,C. Health issues,A. Yes,"Junk food consumption, Sugar intake",Moderate
20,Male,Science,B. Sometimes (2-3 times/week),"C. Very active (physical job, frequent exercise)",B. 15-30 minutes,"A. Health & longevity, B. Weight loss / muscle gain, C. Stress relief / mental well-being",A. Very important,E. No pre-existing conditions,B. 5-7 hours,"A. Lack of motivation, B. Time constraints, C. Health issues",A. Yes,"Junk food consumption, Sugar intake",Moderate
17,Male,Science,C. Frequently (4+ times/week),B. Moderately active (some walking/movement),B. 15-30 minutes,A. Health & longevity,A. Very important,E. No pre-existing conditions,C. More than 7 hours,A. Lack of motivation,B. No,"Junk food consumption, Sugar intake",Moderate
18,Female,Arts,C. Frequently (4+ times/week),"C. Very active (physical job, frequent exercise)",C. More than 30 minutes,C. Stress relief / mental well-being,A. Very important,"A. Diabetes, B. Hypertension, C. Heart disease",C. More than 7 hours,D. No challenges,A. Yes,"Junk food consumption, Sugar intake",Moderate
19,Female,Commerce,A. Rarely (0-1 times/week),B. Moderately active (some walking/movement),A. Less than 15 minutes,B. Weight loss / muscle gain,A. Very important,E. No pre-existing conditions,B. 5-7 hours,A. Lack of motivation,B. No,"Junk food consumption, Sugar intake",Moderate
26,Female,Commerce,A. Rarely (0-1 times/week),"C. Very active (physical job, frequent exercise)",A. Less than 15 minutes,"B. Weight loss / muscle gain, C. Stress relief / mental well-being",A. Very important,E. No pre-existing conditions,B. 5-7 hours,"A. Lack of motivation, B. Time constraints, C. Health issues",A. Yes,"Junk food consumption, Sugar intake",Moderate
16,Male,Science,C. Frequently (4+ times/week),B. Moderately active (some walking/movement),C. More than 30 minutes,B. Weight loss / muscle gain,A. Very important,E. No pre-existing conditions,C. More than 7 hours,A. Lack of motivation,A. Yes,"Junk food consumption, Sugar intake",Moderate
21,Female,Commerce,C. Frequently (4+ times/week),B. Moderately active (some walking/movement),A. Less than 15 minutes,D. I don’t exercise,B. Somewhat important,E. No pre-existing conditions,B. 5-7 hours,A. Lack of motivation,B. No,"Junk food consumption, Sugar intake",Moderate
19,Female,Science,B. Sometimes (2-3 times/week),"A. Mostly sedentary (desk job, minimal movement)",A. Less than 15 minutes,B. Weight loss / muscle gain,A. Very important,E. No pre-existing conditions,B. 5-7 hours,A. Lack of motivation,A. Yes,"Junk food consumption, Sugar intake",Moderate
17,Male,Science,A. Rarely (0-1 times/week),B. Moderately active (some walking/movement),A. Less than 15 minutes,D. I don’t exercise,B. Somewhat important,E. No pre-existing conditions,B. 5-7 hours,A. Lack of motivation,A. Yes,"Junk food consumption, Sugar intake",Moderate
16,Male,Science,C. Frequently (4+ times/week),"C. Very active (physical job, frequent exercise)",C. More than 30 minutes,B. Weight loss / muscle gain,A. Very important,E. No pre-existing conditions,B. 5-7 hours,D. No challenges,A. Yes,"Junk food consumption, Sugar intake",Moderate
